,race,rcDate,rcNo,ord,rcTime,chulNo,age,wgBudam,ord1CntT,ord1CntY,ord2CntT,ord2CntY,rcCntT,rcCntY,chaksunT,chaksunY,chaksun_6m,rating,rcDist,trAge,ord1CntT_tr,ord2CntT_tr,rcCntT_tr,ord1CntY_tr,ord2CntY_tr,rcCntY_tr,age_jk,ord1CntT_jk,ord2CntT_jk,rcCntT_jk,ord1CntY_jk,ord2CntY_jk,rcCntY_jk,wg_Budam_jk,wg_Budam_others_jk,num_own,num_reg,num_cancel,chaksunT_ow,chaksunY_ow,ord1CntT_ow,ord2CntT_ow,ord3CntT_ow,rcCntT_ow,ord1CntY_ow,ord2CntY_ow,ord3CntY_ow,rcCntY_ow,from_recentRcDate,from_trDebut,from_jkDebut,from_owRegister,pred,pred_rank,pred_ona
111,11,2015-07-04,3,0,79.1,1,2,54.0,0,0,0,0,0,0,0,0,0,44,1300,44,44,44,44,44,44,44,36,645,605,5291,58,51,416,53,53,44,44,44,44,44,44,44,44,44,44,44,44,57,0,16576,5111,16576,0.6287702322006226,7.0,0
112,11,2015-07-04,3,0,79.0,11,3,55.0,0,0,0,0,1,1,0,0,0,44,1300,44,44,44,44,44,44,44,27,101,93,1270,29,31,324,52,52,44,44,44,44,44,44,44,44,44,44,44,44,116,34,16576,2572,16576,0.6364116668701172,11.0,0
113,11,2015-07-04,3,0,78.7,10,3,55.0,0,0,0,0,2,2,0,0,0,44,1300,44,44,44,44,44,44,44,40,230,273,4097,4,8,168,52,52,44,44,44,44,44,44,44,44,44,44,44,44,42,27,16576,7308,16576,0.6308678388595581,9.0,0
114,11,2015-07-04,3,0,78.7,5,3,55.0,0,0,0,0,1,1,0,0,0,44,1300,44,44,44,44,44,44,44,36,119,126,1980,2,1,83,53,53,44,44,44,44,44,44,44,44,44,44,44,44,57,42,16576,5111,16576,0.6302953958511353,8.0,0
115,11,2015-07-04,3,0,78.7,8,3,53.0,0,0,0,0,7,7,0,0,0,0,1300,0,0,0,0,0,0,0,35,136,150,2214,11,12,183,53,53,0,0,0,0,0,0,0,0,0,0,0,0,4,13,16620,5111,16620,0.5559255480766296,2.0,1
116,11,2015-07-04,3,0,78.4,4,3,53.0,0,0,0,0,4,4,0,0,0,0,1300,0,0,0,0,0,0,0,38,35,44,1044,0,1,33,52,52,0,0,0,0,0,0,0,0,0,0,0,0,71,28,16620,4677,16620,0.557668149471283,3.0,1
117,11,2015-07-04,3,0,77.9,2,3,53.0,0,0,0,0,1,1,0,0,0,0,1300,0,0,0,0,0,0,0,49,1945,1775,12824,64,57,572,51,51,0,0,0,0,0,0,0,0,0,0,0,0,111,42,16620,10321,16620,0.5657190084457397,5.0,0
118,11,2015-07-04,3,0,77.6,9,3,53.0,0,0,0,0,5,5,1500000,1500000,1500000,44,1300,44,44,44,44,44,44,44,28,28,34,381,28,34,378,49,49,44,44,44,44,44,44,44,44,44,44,44,44,118,27,16576,394,16576,0.639354407787323,12.0,0
119,11,2015-07-04,3,0,77.6,6,3,53.0,0,0,0,0,3,3,0,0,0,44,1300,44,44,44,44,44,44,44,28,89,85,1216,36,27,487,51,51,44,44,44,44,44,44,44,44,44,44,44,44,60,28,16576,1410,16576,0.6329463124275208,10.0,0
120,11,2015-07-04,3,1,76.9,12,2,54.0,0,0,0,0,0,0,0,0,0,44,1300,44,44,44,44,44,44,44,26,136,157,1710,45,52,407,52,53,44,44,44,44,44,44,44,44,44,44,44,44,73,0,16576,1851,16576,0.6280487775802612,6.0,0
121,11,2015-07-04,3,1,76.7,3,3,55.0,0,0,0,0,2,2,0,0,0,0,1300,0,0,0,0,0,0,0,24,66,52,947,16,26,416,52,52,0,0,0,0,0,0,0,0,0,0,0,0,39,56,16620,1122,16620,0.5555453896522522,1.0,1
122,11,2015-07-04,3,1,76.6,7,3,55.0,0,0,1,1,3,3,5250000,5250000,5250000,0,1300,0,0,0,0,0,0,0,23,86,87,681,30,37,252,51,52,0,0,0,0,0,0,0,0,0,0,0,0,94,63,16620,763,16620,0.5611554980278015,4.0,0
123,12,2015-07-04,2,0,64.5,5,2,52.0,0,0,0,0,0,0,0,0,0,44,1200,44,44,44,44,44,44,44,24,30,54,716,23,31,418,49,49,44,44,44,44,44,44,44,44,44,44,44,44,67,0,16576,763,16576,0.6218577027320862,4.0,0
124,12,2015-07-04,2,0,64.2,1,3,53.0,0,0,0,0,1,1,0,0,0,44,1200,44,44,44,44,44,44,44,41,248,257,3033,7,3,90,53,53,44,44,44,44,44,44,44,44,44,44,44,44,38,42,16576,7308,16576,0.6268190145492554,7.0,0
125,12,2015-07-04,2,0,64.1,9,3,55.0,0,0,0,0,2,2,0,0,0,0,1200,0,0,0,0,0,0,0,37,77,122,2101,3,3,109,52,52,0,0,0,0,0,0,0,0,0,0,0,0,59,34,16620,6228,16620,0.5550417900085449,2.0,1
126,12,2015-07-04,2,0,63.9,6,2,54.0,0,0,0,0,1,1,0,0,0,44,1200,44,44,44,44,44,44,44,24,66,52,947,16,26,416,52,52,44,44,44,44,44,44,44,44,44,44,44,44,43,28,16576,1122,16576,0.6245052814483643,6.0,0
127,12,2015-07-04,2,0,63.6,10,2,54.0,0,0,0,0,1,1,0,0,0,44,1200,44,44,44,44,44,44,44,34,1157,864,5803,173,121,647,53,53,44,44,44,44,44,44,44,44,44,44,44,44,104,28,16576,5111,16576,0.6397061347961426,10.0,0
128,12,2015-07-04,2,0,63.3,3,3,53.0,0,0,0,0,0,0,0,0,0,44,1200,44,44,44,44,44,44,44,49,1945,1775,12824,64,57,572,51,51,44,44,44,44,44,44,44,44,44,44,44,44,112,0,16576,10321,16576,0.6366046667098999,9.0,0
129,12,2015-07-04,2,0,62.8,4,2,53.0,0,0,0,0,0,0,0,0,0,44,1200,44,44,44,44,44,44,44,23,86,87,681,30,37,252,51,52,44,44,44,44,44,44,44,44,44,44,44,44,63,0,16576,763,16576,0.6220492720603943,5.0,0
130,12,2015-07-04,2,1,62.3,7,3,53.0,0,0,0,0,1,1,1200000,1200000,0,0,1200,0,0,0,0,0,0,0,34,42,27,339,20,11,152,49,49,0,0,0,0,0,0,0,0,0,0,0,0,5,321,16620,745,16620,0.5571545362472534,3.0,1
131,12,2015-07-04,2,1,61.8,8,3,55.0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,45,347,341,4123,3,3,118,52,52,0,0,0,0,0,0,0,0,0,0,0,0,61,0,16620,9164,16620,0.5529362559318542,1.0,1
132,12,2015-07-04,2,1,61.8,2,3,55.0,0,0,0,0,2,2,0,0,0,44,1200,44,44,44,44,44,44,44,26,153,158,2069,42,30,486,51,51,44,44,44,44,44,44,44,44,44,44,44,44,76,41,16576,2224,16576,0.6337651610374451,8.0,0
155,15,2015-07-05,9,0,114.0,6,4,56.5,3,1,1,0,9,3,110900000,34650000,0,96,1700,96,96,96,96,96,96,96,37,575,562,4625,61,55,398,53,53,96,96,96,96,96,96,96,96,96,96,96,96,102,35,16525,6229,16525,0.737959623336792,8.0,0
156,15,2015-07-05,9,0,111.6,4,5,54.0,2,0,0,0,9,2,75673000,0,0,91,1700,91,91,91,91,91,91,91,24,66,52,947,16,26,416,52,52,91,91,91,91,91,91,91,91,91,91,91,91,58,28,16530,1123,16530,0.7207812666893005,2.0,1
157,15,2015-07-05,9,0,110.7,8,4,52.5,1,0,4,1,16,9,104170000,30810000,5400000,90,1700,90,90,90,90,90,90,90,24,30,54,716,23,31,418,49,49,90,90,90,90,90,90,90,90,90,90,90,90,95,28,16531,764,16531,0.7267110347747803,5.0,0
