,accuracy,l1_regulizer,neurons_1,neurons_2
0,2.599388379204893,0.01,30,3
1,1.834862385321101,0.01,30,5
2,1.834862385321101,0.01,30,10
3,2.1406727828746175,0.01,40,3
4,2.4464831804281344,0.01,40,5
5,2.90519877675841,0.01,40,10
6,1.9877675840978593,0.01,60,3
7,2.293577981651376,0.01,60,5
8,1.529051987767584,0.01,60,10
9,0.0,0.1,30,3
10,0.0,0.1,30,5
11,2.293577981651376,0.1,30,10
12,0.0,0.1,40,3
13,0.0,0.1,40,5
14,2.293577981651376,0.1,40,10
15,0.0,0.1,60,3
16,2.293577981651376,0.1,60,5
17,2.293577981651376,0.1,60,10
18,0.0,0.2,30,3
19,0.0,0.2,30,5
20,0.0,0.2,30,10
21,0.0,0.2,40,3
22,0.0,0.2,40,5
23,0.0,0.2,40,10
24,0.0,0.2,60,3
25,0.0,0.2,60,5
26,0.0,0.2,60,10
27,0.0,0.5,30,3
28,0.0,0.5,30,5
29,0.0,0.5,30,10
30,0.0,0.5,40,3
31,0.0,0.5,40,5
32,0.0,0.5,40,10
33,0.0,0.5,60,3
34,0.0,0.5,60,5
35,0.0,0.5,60,10
